Column 2,Column 3
200302,1
200307,1232
200308,2222
200309,1182
200310,1168
200311,1859
200312,1932
200401,1968
200402,2014
200403,1868
200404,2620
200405,1918
200406,1744
200407,2799
200408,3215
200409,3453
200410,3102
200411,2452
200412,2702
200501,2824
200502,3517
200503,4125
200504,4920
200505,6957
200506,8069
200507,9922
200508,10445
200509,8694
200510,10168
200511,9378
200512,11213
200601,11781
200602,12565
200603,14103
200604,13962
200605,15653
200606,14375
200607,16595
200608,20076
200609,20210
200610,22414
200611,21073
200612,19995
200701,19492
200702,21165
200703,24014
200704,24679
200705,25825
200706,24641
200707,26568
200708,30415
200709,31476
200710,45753
200711,44999
200712,44040
200801,49036
200802,46667
200803,48606
200804,50022
200805,45528
200806,38879
200807,42843
200808,46364
200809,43784
200810,50312
200811,43901
200812,48769
200901,46222
200902,39940
200903,56870
200904,48218
200905,47207
200906,43086
200907,38903
200908,38122
200909,42672
200910,42524
200911,40611
200912,35633
201001,41240
201002,40826
201003,48457
201004,44004
201005,41699
201006,41115
201007,29597
201008,33769
201009,35130
201010,34919
201011,36757
201012,37274
201101,40900
201102,40117
201103,40198
201104,41154
201105,34658
201106,33096
201107,36888
201108,46243
201109,38495
201110,43031
201111,38415
201112,34901
201201,31805
201202,28516
201203,33686
201204,27672
201205,31203
201206,27119
201207,22307
201208,25465
201209,20014
201210,23962
201211,23240
201212,21673
201301,23708
201302,23388
201303,27131
201304,27787
201305,24824
201306,21818
201307,23816
201308,21011
201309,15026
201310,22103
201311,25866
