Mes,total,an?nimas,registrados,bots,sysop,reversas
200105,12,12,,,,
200106,2,2,,,,
200108,14,14,,,,
200109,151,151,,,,
200110,129,129,,,,
200111,60,60,,,,
200112,158,158,,,,
200201,991,990,1,,,
200202,1717,1717,,,,
200203,145,144,1,,,
200204,140,140,,,,
200205,366,366,,,,
200206,134,134,,,,
200207,48,48,,,,
200208,104,104,,,,
200209,184,184,,,,
200210,3329,2546,783,,,
200211,1215,416,799,,,
200212,1096,322,774,,,3
200301,1295,465,830,,,2
200302,1264,408,856,,1,1
200303,1478,637,841,,,
200304,900,468,432,,,3
200305,1247,725,522,,,3
200306,1829,896,933,,,6
200307,5283,870,4413,,1232,3
200308,7947,1533,6414,,2222,16
200309,7511,1761,5750,,1182,6
200310,15390,1521,13869,,1168,6
200311,13893,4564,9329,,1859,23
200312,16223,2715,13508,,1932,69
200401,12248,2394,9854,,1968,56
200402,14689,3467,11222,,2014,105
200403,20677,5016,15661,,1868,201
200404,17825,3684,14141,,2620,219
200405,17472,5411,12061,,1918,219
200406,19156,8191,10965,,1744,362
200407,25206,5224,19982,,2799,424
200408,27257,7116,20141,,3215,530
200409,40931,8510,32421,,3453,833
200410,47915,10470,37445,,3102,1049
200411,46081,11355,34726,,2452,1283
200412,41656,9189,32467,,2702,1045
200501,41341,8676,32665,,2824,1163
200502,37004,7448,29556,,3517,941
200503,45950,10546,35404,,4125,1314
200504,65677,16056,49621,,4920,1853
200505,99235,19549,79686,,6957,1661
200506,98060,21794,76266,,8069,1791
200507,110199,23945,86254,180,9922,2056
200508,164884,30545,134339,118,10445,3397
200509,136212,27558,108654,22,8694,2737
200510,150854,36743,114111,2,10168,3471
200511,138249,36327,101922,10,9378,3365
200512,187811,46089,141722,13,11213,3291
200601,216990,56646,160344,15,11781,3833
200602,222141,48931,173210,3167,12565,4148
200603,262536,58632,203904,13290,14103,5416
200604,267464,62829,204635,7136,13962,6295
200605,302133,73282,228851,8437,15653,8948
200606,320606,70680,249926,11222,14375,7768
200607,334126,71142,262984,16493,16595,7832
200608,356851,88367,268484,6645,20076,10099
200609,352932,95352,257580,15957,20210,12299
200610,377570,104828,272742,10595,22414,15036
200611,399469,109509,289960,13762,21073,15470
200612,395526,99822,295704,28509,19995,10372
200701,441876,119135,322741,19847,19492,12287
200702,457644,125952,331692,14334,21165,15630
200703,530919,146127,384791,6637,24014,21229
200704,519056,146186,372854,12201,24679,18814
200705,615291,173896,441390,9247,25825,24059
200706,545276,157130,388146,14277,24641,19571
200707,523772,150414,373358,6736,26568,15439
200708,563173,174661,388508,9922,30415,21216
200709,622864,184786,438073,21412,31476,26469
200710,676740,206615,470120,8727,45753,36105
200711,624489,187985,436503,10802,44999,28567
200712,719889,160270,559617,103541,44040,22256
200801,724859,194419,530439,41030,49036,28956
200802,657906,189842,468045,20391,46667,30773
200803,683933,196963,486968,22262,48606,33968
200804,696148,207310,488828,21328,50022,44819
200805,725999,187742,538063,27402,45528,40477
200806,605827,128037,477790,28316,38879,29671
200807,597854,125215,472639,15359,42843,23429
200808,630485,125903,504560,25138,46364,30276
200809,641093,131908,509162,16805,43784,32555
200810,784025,144957,639053,53596,50312,36029
200811,702298,130612,571684,65764,43901,32755
200812,743230,120139,623083,45083,48769,21098
200901,692174,133324,558850,36609,46222,25888
200902,699411,153009,546399,109828,39940,33434
200903,709086,198564,510521,39325,56870,53930
200904,672022,192278,479738,21624,48218,44875
200905,763348,213910,549437,34709,47207,56979
200906,768540,213164,555369,31796,43086,44505
200907,775428,201663,573762,19997,38903,40687
200908,713716,206237,507409,27885,38122,46638
200909,765703,214890,550805,43648,42672,51706
200910,744553,220651,523898,31268,42524,57371
200911,706916,212775,494130,24889,40611,54209
200912,665646,183274,482368,40591,35633,35372
201001,808367,215421,592944,60730,41240,44157
201002,856715,204375,652332,76138,40826,49368
201003,1091780,228521,863247,183286,48457,59018
201004,784310,220511,563793,36616,44004,56012
201005,906972,226083,680888,27071,41699,46959
201006,787056,183649,603407,55082,41115,36950
201007,671628,181321,490298,41275,29597,25754
201008,681137,201261,479871,49303,33769,33892
201009,689359,208386,480969,48816,35130,37525
201010,706007,211414,494587,72269,34919,40958
201011,696376,206358,490006,54742,36757,38335
201012,664943,185034,479908,50082,37274,27538
201101,747016,212670,534342,61989,40900,32313
201102,708180,210063,498101,73130,40117,41956
201103,717310,220986,496314,42807,40198,44643
201104,706898,199696,507189,67093,41154,38811
201105,693287,210384,482895,69796,34658,42030
201106,751325,212255,539067,74813,33096,36394
201107,794608,207464,587140,122363,36888,29489
201108,912866,219051,693804,187121,46243,37952
201109,700750,210362,490385,62817,38495,43090
201110,779377,222092,557276,120085,43031,41649
201111,750722,222717,527989,92883,38415,44087
201112,750490,197481,553005,95914,34901,31833
201201,780813,218116,562676,93505,31805,38413
201202,721991,206264,515726,61067,28516,40165
201203,744987,212193,532794,71219,33686,40360
201204,735567,211002,524560,82933,27672,41395
201205,803032,233508,569505,101166,31203,48246
201206,754822,219119,535690,98207,27119,40693
201207,915924,222340,693584,221409,22307,33046
201208,829610,221097,608512,112972,25465,41588
201209,802197,207551,594646,143829,20014,43682
201210,830807,216542,614264,132841,23962,47570
201211,805977,211269,594702,169406,23240,43455
201212,718399,192080,526316,85307,21673,29443
201301,794393,208728,585663,95774,23708,33784
201302,738158,194142,544015,78304,23388,40188
201303,1558457,204474,1353979,893721,27131,43580
201304,725435,205845,519588,147673,27787,44358
201305,736475,238837,497636,112500,24824,44605
201306,654188,229344,424843,69730,21818,34295
201307,660725,209164,451553,92741,23816,28517
201308,580601,170953,409648,77296,21011,29227
201309,559309,160148,399153,72978,15026,28819
201310,563368,171341,392014,50711,22103,37281
201311,538374,167689,370669,37097,25866,37485
